id,ISO3166-2,pref,area,url
301,JP-01,北海道,宗谷地方,https://www.jma.go.jp/jp/warn/301_table.html
302,JP-01,北海道,上川・留萌地方,https://www.jma.go.jp/jp/warn/302_table.html
303,JP-01,北海道,網走・北見・紋別地方,https://www.jma.go.jp/jp/warn/303_table.html
304,JP-01,北海道,釧路・根室・十勝地方,https://www.jma.go.jp/jp/warn/304_table.html
305,JP-01,北海道,胆振・日高地方,https://www.jma.go.jp/jp/warn/305_table.html
306,JP-01,北海道,石狩・空知・後志地方,https://www.jma.go.jp/jp/warn/306_table.html
307,JP-01,北海道,渡島・檜山地方,https://www.jma.go.jp/jp/warn/307_table.html
308,JP-02,青森県,,https://www.jma.go.jp/jp/warn/308_table.html
309,JP-05,秋田県,,https://www.jma.go.jp/jp/warn/309_table.html
310,JP-03,岩手県,,https://www.jma.go.jp/jp/warn/310_table.html
311,JP-06,山形県,,https://www.jma.go.jp/jp/warn/311_table.html
312,JP-04,宮城県,,https://www.jma.go.jp/jp/warn/312_table.html
313,JP-07,福島県,,https://www.jma.go.jp/jp/warn/313_table.html
314,JP-08,茨城県,,https://www.jma.go.jp/jp/warn/314_table.html
315,JP-10,群馬県,,https://www.jma.go.jp/jp/warn/315_table.html
316,JP-09,栃木県,,https://www.jma.go.jp/jp/warn/316_table.html
317,JP-11,埼玉県,,https://www.jma.go.jp/jp/warn/317_table.html
318,JP-12,千葉県,,https://www.jma.go.jp/jp/warn/318_table.html
319,JP-13,東京都,,https://www.jma.go.jp/jp/warn/319_table.html
320,JP-14,神奈川県,,https://www.jma.go.jp/jp/warn/320_table.html
321,JP-19,山梨県,,https://www.jma.go.jp/jp/warn/321_table.html
322,JP-20,長野県,,https://www.jma.go.jp/jp/warn/322_table.html
323,JP-15,新潟県,,https://www.jma.go.jp/jp/warn/323_table.html
324,JP-16,富山県,,https://www.jma.go.jp/jp/warn/324_table.html
325,JP-17,石川県,,https://www.jma.go.jp/jp/warn/325_table.html
326,JP-18,福井県,,https://www.jma.go.jp/jp/warn/326_table.html
327,JP-22,静岡県,,https://www.jma.go.jp/jp/warn/327_table.html
328,JP-21,岐阜県,,https://www.jma.go.jp/jp/warn/328_table.html
329,JP-23,愛知県,,https://www.jma.go.jp/jp/warn/329_table.html
330,JP-24,三重県,,https://www.jma.go.jp/jp/warn/330_table.html
331,JP-27,大阪府,,https://www.jma.go.jp/jp/warn/331_table.html
332,JP-28,兵庫県,,https://www.jma.go.jp/jp/warn/332_table.html
333,JP-26,京都府,,https://www.jma.go.jp/jp/warn/333_table.html
334,JP-25,滋賀県,,https://www.jma.go.jp/jp/warn/334_table.html
335,JP-29,奈良県,,https://www.jma.go.jp/jp/warn/335_table.html
336,JP-30,和歌山県,,https://www.jma.go.jp/jp/warn/336_table.html
337,JP-32,島根県,,https://www.jma.go.jp/jp/warn/337_table.html
338,JP-34,広島県,,https://www.jma.go.jp/jp/warn/338_table.html
339,JP-31,鳥取県,,https://www.jma.go.jp/jp/warn/339_table.html
340,JP-33,岡山県,,https://www.jma.go.jp/jp/warn/340_table.html
341,JP-37,香川県,,https://www.jma.go.jp/jp/warn/341_table.html
342,JP-38,愛媛県,,https://www.jma.go.jp/jp/warn/342_table.html
343,JP-36,徳島県,,https://www.jma.go.jp/jp/warn/343_table.html
344,JP-39,高知県,,https://www.jma.go.jp/jp/warn/344_table.html
345,JP-35,山口県,,https://www.jma.go.jp/jp/warn/345_table.html
346,JP-40,福岡県,,https://www.jma.go.jp/jp/warn/346_table.html
347,JP-41,佐賀県,,https://www.jma.go.jp/jp/warn/347_table.html
348,JP-42,長崎県,,https://www.jma.go.jp/jp/warn/348_table.html
349,JP-43,熊本県,,https://www.jma.go.jp/jp/warn/349_table.html
350,JP-44,大分県,,https://www.jma.go.jp/jp/warn/350_table.html
351,JP-45,宮崎県,,https://www.jma.go.jp/jp/warn/351_table.html
352,JP-46,鹿児島県,,https://www.jma.go.jp/jp/warn/352_table.html
353,JP-47,沖縄県,沖縄本島地方,https://www.jma.go.jp/jp/warn/353_table.html
354,JP-47,沖縄県,大東島地方,https://www.jma.go.jp/jp/warn/354_table.html
355,JP-47,沖縄県,宮古島地方,https://www.jma.go.jp/jp/warn/355_table.html
356,JP-47,沖縄県,八重山地方,https://www.jma.go.jp/jp/warn/356_table.html